genderENG,classificationENG,genderHUN,classificationHUN,productId,similarProductsLink,mainProductsLink,productName,priceHUF,priceEUR,brand,stockStatusENG,images,color,catalogId,productDetails
women,pants,női,nadrág,2762781,https://www.fashiondays.hu/v/2762781/n%C5%91i-/ruh%C3%A1zat?productSlug=pamutnadr%C3%A1g-megk%C3%B6t%C5%91vel-a-der%C3%A9kr%C3%A9szen-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/pamutnadr%C3%A1g-megk%C3%B6t%C5%91vel-a-der%C3%A9kr%C3%A9szen-n%C5%91i-tommy-hilfiger-p2762781-1/,Pamutnadrág megkötővel a derékrészen,53999,156.6,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30551/30550750/images/res_3884b673238ba86d7d7c04299cd94eff.jpg?s=9fSQ1L9eINnp https://fdcdn.akamaized.net/m/780x1132/products/30551/30550750/images/res_98e9850ed637bd12b57c66d384d9f7a9.jpg?s=zNVzOzmTSeiL,fekete,WW0WW26558-BDS,Leírás Szín: fekete Stílus: hétköznapi Anyag: pamut Minta: nincs Szabás: lefelé szűkülő Hossz: hosszú Derékrész: középmagas Részletek: kis logós részlet$ megkötővel állítható derékrész Összetétel Anyag: 100% pamut Termékszám WW0WW26558-BDS
women,pants,női,nadrág,2762787,https://www.fashiondays.hu/v/2762787/n%C5%91i-/ruh%C3%A1zat?productSlug=b%C5%91-sz%C3%A1r%C3%BA-nadr%C3%A1g-megk%C3%B6t%C5%91vel-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/b%C5%91-sz%C3%A1r%C3%BA-nadr%C3%A1g-megk%C3%B6t%C5%91vel-n%C5%91i-tommy-hilfiger-p2762787-1/,Bő szárú nadrág megkötővel,56999,165.3,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30551/30550697/images/res_5dd294b3ae4215bac9365f3bb0cfb4a8.jpg?s=2NlIYldwYzNt https://fdcdn.akamaized.net/m/780x1132/products/30551/30550697/images/res_7c2497bd4fe759414bc0c4fc9223c295.jpg?s=VGP6e26W-bFv https://fdcdn.akamaized.net/m/780x1132/products/30551/30550697/images/res_4c8467c2d01e8c96db9cead989f8b112.jpg?s=eRd6Q9dBnVsp https://fdcdn.akamaized.net/m/780x1132/products/30551/30550697/images/res_66c230950514b89770bdc5403080f1dd.jpg?s=rR4MTBIgh9Qv,pasztell rózsaszín,WW0WW26759-TJP,Leírás Szín: pasztell rózsaszín Stílus: hétköznapi Anyag: poliészter Minta: nincs Fazon: bő szárú Hossz: hosszú Derékrész: középmagas Összetétel Anyag: 100% poliészter Termékszám WW0WW26759-TJP
women,pants,női,nadrág,2734732,https://www.fashiondays.hu/v/2734732/n%C5%91i-/ruh%C3%A1zat?productSlug=slim-fit-m%C5%B1b%C5%91r-nadr%C3%A1g-5-zsebbel-n%C5%91i-karl-lagerfeld&tagId=1,https://www.fashiondays.hu/p/slim-fit-m%C5%B1b%C5%91r-nadr%C3%A1g-5-zsebbel-n%C5%91i-karl-lagerfeld-p2734732-1/,Slim fit műbőr nadrág 5 zsebbel,39499,114.55,Karl Lagerfeld,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30506/30505413/images/res_c9504bceead2ec79664ce96a3ea02b05.jpg?s=9yjwIT3qLYse https://fdcdn.akamaized.net/m/780x1132/products/30506/30505413/images/res_5fb6db3a868c91058d9a88a5b928afd1.jpg?s=-x_EI2sy9rol https://fdcdn.akamaized.net/m/780x1132/products/30506/30505413/images/res_771da90f54d95a87f3bf0abfe0fb17ee.jpg?s=ey_3dpX-CYhT,vörösaranyszín,86KW1805-979,Leírás Szín: vörösaranyszín Stílus: hétköznapi Anyag: műbőr Minta: nincs Szabás: szűk Hossz: hosszú Derékrész: középmagas Zsebek: 5 Rögzítés: cipzáros és gombos Összetétel Anyag: 69% pamut$ 29% poliészter$ 2% elasztán Termékszám 86KW1805-979
women,pants,női,nadrág,2715083,https://www.fashiondays.hu/v/2715083/n%C5%91i-/ruh%C3%A1zat?productSlug=alkalmi-nadr%C3%A1g-oldalzsebekkel-n%C5%91i-marks-spencer&tagId=1,https://www.fashiondays.hu/p/alkalmi-nadr%C3%A1g-oldalzsebekkel-n%C5%91i-marks-spencer-p2715083-1/,Alkalmi nadrág oldalzsebekkel,18900,54.81,Marks & Spencer,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30258/30257976/images/res_ddac6e0bb696c4196443e965defd7343.jpg?s=2I8pHAsfcBhP https://fdcdn.akamaized.net/m/780x1132/products/30258/30257976/images/res_d4ea652d4e319b49599adb59b402ee7c.jpg?s=EQmpChjbH1Os,bézs,T59-5760-NM,Leírás Szín: bézs Stílus: hétköznapi Anyag: szintetikus szálak$ pamut Minta: nincs Fazon: straight fit Hossz: hosszú Derékrész: középmagas Zsebek: 2 az oldalán Rögzítés: cipzáros Összetétel Anyag: 70% pamut$ 27% poliészter$ 3% elasztán Termékszám T59-5760-NM
women,pants,női,nadrág,2715048,https://www.fashiondays.hu/v/2715048/n%C5%91i-/ruh%C3%A1zat?productSlug=alkalmi-nadr%C3%A1g-oldalzsebekkel-n%C5%91i-marks-spencer&tagId=1,https://www.fashiondays.hu/p/alkalmi-nadr%C3%A1g-oldalzsebekkel-n%C5%91i-marks-spencer-p2715048-1/,Alkalmi nadrág oldalzsebekkel,18900,54.81,Marks & Spencer,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30258/30257954/images/res_3c15072ac6ec7f45bc53531bcfbc20be.jpg?s=sNWR1jXj3a4R https://fdcdn.akamaized.net/m/780x1132/products/30258/30257954/images/res_81a3c425ee692b7ddc1bb63833f4ef4c.jpg?s=QPQmVR6L5fwl,fekete,T59-5760-Y0,Leírás Szín: fekete Stílus: hétköznapi$ elegáns Anyag: szintetikus szálak$ pamut Minta: nincs Fazon: straight fit Hossz: hosszú Derékrész: középmagas Zsebek: 2 az oldalán Rögzítés: cipzáros Összetétel Anyag: 70% pamut$ 27% poliészter$ 3% elasztán Termékszám T59-5760-Y0
women,pants,női,nadrág,2762792,https://www.fashiondays.hu/v/2762792/n%C5%91i-/ruh%C3%A1zat?productSlug=palazzo-nadr%C3%A1g-ferde-zsebekkel-n%C5%91i-tommy-hilfiger&tagId=1,https://www.fashiondays.hu/p/palazzo-nadr%C3%A1g-ferde-zsebekkel-n%C5%91i-tommy-hilfiger-p2762792-1/,Palazzo nadrág ferde zsebekkel,56999,165.3,Tommy Hilfiger,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30551/30550737/images/res_99f34b15ac27c4d457f464d77f37f83a.jpg?s=31alag5X40nB https://fdcdn.akamaized.net/m/780x1132/products/30551/30550737/images/res_9028ba854df651d426b6d16f7491e6a2.jpg?s=tzltrecVkmIm https://fdcdn.akamaized.net/m/780x1132/products/30551/30550737/images/res_61b358d5d5787a21404760d7b099f8f6.jpg?s=SG6sA5Dq2Lc8 https://fdcdn.akamaized.net/m/780x1132/products/30551/30550737/images/res_f5c2221896dcc5d15d4bcab88717a0e4.jpg?s=fJQzTZuu8rmM,tengerészkék,WW0WW27559-DW5,Leírás Szín: tengerészkék Stílus: hétköznapi Anyag: viszkóz Minta: nincs Szabás: bővülő Hossz: hosszú Derékrész: középmagas Részletek: díszgombok Zsebek: 2 ferde zseb$ egy hasított farzseb Összetétel Anyag: 100% viszkóz Termékszám WW0WW27559-DW5
women,pants,női,nadrág,2742599,https://www.fashiondays.hu/v/2742599/n%C5%91i-/ruh%C3%A1zat?productSlug=szabadid%C5%91nadr%C3%A1g-log%C3%B3val-n%C5%91i-gap&tagId=1,https://www.fashiondays.hu/p/szabadid%C5%91nadr%C3%A1g-log%C3%B3val-n%C5%91i-gap-p2742599-1/,Szabadidőnadrág logóval,6599,19.14,GAP,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_0f1061e16f9ffc0fb49b108c8d75bfe6.jpg?s=F5kGWLIPwQqS https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_69d829dbe6bb7c9f0434c5bc0268e85c.jpg?s=Pz_6yKB7hxvp https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_53eea8cc946a6c02ec1b7f1406940412.jpg?s=S-kxUOSYv8Ab https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_94bf78baea9d62f02bbb7fc517f2554e.jpg?s=7M1-ZezXg2Ut https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_ce9de4c71e836372344eeb6f62878722.jpg?s=AIRoi012YFak https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_658e8e4fd310a32390e6082e023e6a07.jpg?s=eqqBP0aEz5IO https://fdcdn.akamaized.net/m/780x1132/products/30261/30260122/images/res_40da7db70ed88be3964ba3a9db38e568.jpg?s=nwGX5gKyhwGq,lila,000715905-376,Leírás Szín: lila$ fehér Stílus: hétköznapi Anyag: pamut Minta: logós Szabás: lefelé szűkülő Hossz: hosszú Derékrész: középmagas Összetétel Anyag: 60% pamut$ 40% poliészter Modellinformáció A modell S-es méretű terméket visel. Méretei: 178 cm$ mellbőség: 83 cm$ derékbőség: 59 cm$ csípő: 90 cm Termékszám 000715905-376
women,pants,női,nadrág,2735869,https://www.fashiondays.hu/v/2735869/n%C5%91i-/ruh%C3%A1zat?productSlug=lyocell-anyag%C3%BA-nadr%C3%A1g-zsebekkel-n%C5%91i-fiorella-rubino&tagId=1,https://www.fashiondays.hu/p/lyocell-anyag%C3%BA-nadr%C3%A1g-zsebekkel-n%C5%91i-fiorella-rubino-p2735869-1/,Lyocell anyagú nadrág zsebekkel,12799,37.12,Fiorella Rubino,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30385/30384218/images/res_2b79aa0d739bb50f2dd58a96bdcb381e.jpg?s=Jlj0tYaLvX1Z https://fdcdn.akamaized.net/m/780x1132/products/30385/30384218/images/res_b53285b95ebe4ecb66fa8a2f867b6809.jpg?s=H6f0UnEy9sQg https://fdcdn.akamaized.net/m/780x1132/products/30385/30384219/images/res_7893d23a2f907883b6e522d54a9f1e25.jpg?s=XckKxkq8ETuw https://fdcdn.akamaized.net/m/780x1132/products/30385/30384219/images/res_90928825cf546f962ff06033f1d4d109.jpg?s=xyGZT2oKWoa9,korallszín,P343T100XN-16,Leírás Szín: korallszín Stílus: hétköznapi Anyag: lyocell Minta: nincs Fazon: regular fit Hossz: hosszú Derékrész: középmagas Részletek: megkötővel állítható derékrész$ rugalmas szárvégek Zsebek: 2 az elején Összetétel Anyag: 100% lyocell Ez a termék molett hölgyek számára ideális. Termékszám P343T100XN-16
women,pants,női,nadrág,2730074,https://www.fashiondays.hu/v/2730074/n%C5%91i-/ruh%C3%A1zat?productSlug=rugalmas-nadr%C3%A1g-derek%C3%A1n-megk%C3%B6t%C5%91vel-n%C5%91i-aerie&tagId=1,https://www.fashiondays.hu/p/rugalmas-nadr%C3%A1g-derek%C3%A1n-megk%C3%B6t%C5%91vel-n%C5%91i-aerie-p2730074-1/,Rugalmas nadrág derekán megkötővel,10199,29.58,Aerie,in_stock,https://fdcdn.akamaized.net/m/780x1132/products/30377/30376595/images/res_84c49fd06bef8b826f8647d9d65a2ae9.jpg?s=AMF8Do6k0Sje https://fdcdn.akamaized.net/m/780x1132/products/30377/30376595/images/res_781e53f84da457b412e07009a404de43.jpg?s=lTQwLm19wTUG https://fdcdn.akamaized.net/m/780x1132/products/30377/30376595/images/res_2303a581f6222476bbad4118a5c3b2fc.jpg?s=wkDIYQxeuAVq https://fdcdn.akamaized.net/m/780x1132/products/30377/30376597/images/res_bb68508ed76caf5aa68b5999d3f25ef6.jpg?s=nXJycAHq8biJ,fekete,070-0708-4511-073,Leírás Szín: fekete Stílus: hétköznapi Anyag: szintetikus szálak Minta: nincs Fazon: szűk Hossz: hosszú Derékrész: középmagas Részletek: megkötős derékrész Zsebek: 2 oldalzseb Összetétel Anyag: 90% poliészter$ 10% elasztán Termékszám 070-0708-4511-073
women,pants,női,nadrág,2748142,https://www.fashiondays.hu/v/2748142/n%C5%91i-/ruh%C3%A1zat?productSlug=szat%C3%A9nnadr%C3%A1g-oldalhas%C3%ADt%C3%A9kokkal-n%C5%91i-armani-exchange&tagId=1,https://www.fashiondays.hu/p/szat%C3%A9nnadr%C3%A1g-oldalhas%C3%ADt%C3%A9kokkal-n%C5%91i-armani-exchange-p2748142-1/,Szaténnadrág oldalhasítékokkal,43699,126.73,ARMANI EXCHANGE,limited_quantity,https://fdcdn.akamaized.net/m/780x1132/products/30528/30527203/images/res_a8c449e57c32d7a9a1a47407910cc632.jpg?s=tytEt-EkZVXa https://fdcdn.akamaized.net/m/780x1132/products/30528/30527203/images/res_50512060b30c2ae0d92f3e7ba3da8997.jpg?s=qFPt_u0XzQsk https://fdcdn.akamaized.net/m/780x1132/products/30528/30527203/images/res_9ee8df08133153f7a0c0e4399607a89d.jpg?s=lv3NVNkyj7iX https://fdcdn.akamaized.net/m/780x1132/products/30528/30527203/images/res_08ec43113c477d9eff05c1cc13b40952.jpg?s=7HiLFJ24AkaV,sötétkék,3HYP57-YNXMZ-1593,Leírás Szín: sötétkék Stílus: hétköznapi Anyag: poliészter Minta: nincs Szabás: lefelé szűkülő Hossz: hosszú Derékrész: középmagas Részletek: hasítékok az oldalán Összetétel Anyag: 100% poliészter Termékszám 3HYP57-YNXMZ-1593
